Total lists
stock_id,trade_times,entry_time,leave_time,entry_price,leave_price,entry_ticket,leave_ticket,profits,capitals
1210.TW,0,2010/09/09,2010/10/04,29.25,31.75,1,1,1.75,439000
1210.TW,1,2010/09/29,2010/10/04,31,31.75,2,2,0,313500
1234.TW,0,2010/09/24,2010/10/08,24.00,25.70,1,1,1,263800
1234.TW,1,2010/10/05,2010/10/08,25,25.70,2,2,0,162400
1304.TW,0,2010/09/06,2010/09/10,22.30,24.65,1,1,1.7,115450
1409.TW,0,2010/09/08,2010/09/23,12.50,12.90,1,1,-0.5,90050
1409.TW,1,2010/09/17,2010/09/23,13,12.90,2,2,-2,38250
1455.TW,0,2010/09/27,2010/10/01,16.05,15.75,1,1,-1.05,6450
1455.TW,1,2010/09/28,2010/10/01,15,15.75,2,2,0,-55050
1475.TW,0,2010/09/06,-1,13.60,0,1,0,-0.6,-68650
1504.TW,0,2010/09/16,2010/10/06,16.60,18.40,1,1,1.4,-103650
1710.TW,0,2010/09/06,2010/10/07,25.45,28.30,1,1,2.55,-157400
1710.TW,1,2010/10/04,2010/10/07,27,28.30,2,2,2,-268000
1710.TW,2,2010/09/23,2010/10/15,27.20,33.30,1,1,4.8,-328500
1711.TW,0,2010/09/06,2010/09/15,36.90,41.10,1,1,3.1,-406500
1711.TW,1,2010/09/24,2010/09/30,39.00,37.50,1,1,-2,-483000
1711.TW,2,2010/09/27,2010/09/30,36,37.50,2,2,2,-630000
1905.TW,0,2010/10/07,2010/10/13,16.70,16.10,1,1,-1.7,-662800
2311.TW,0,2010/09/13,2010/09/23,23.25,24.85,1,1,0.75,-710900
2311.TW,1,2010/09/17,2010/09/23,24,24.85,2,2,0,-808600
2325.TW,0,2010/09/10,2010/10/05,30.75,32.50,1,1,1.25,-871850
2325.TW,1,2010/09/30,2010/10/05,32,32.50,2,2,0,-1000850
2332.TW,0,2010/09/06,2010/09/15,27.20,28.15,1,1,0.800000000000001,-1056200
2332.TW,1,2010/09/10,2010/09/15,25,28.15,2,2,6,-1162500
2332.TW,2,2010/09/30,2010/10/06,32.90,32.80,1,1,-0.899999999999999,-1228200
2332.TW,3,2010/10/01,2010/10/06,34,32.80,2,2,-4,-1361800
2409.TW,0,2010/09/10,2010/10/06,30.95,32.15,1,1,0.0500000000000007,-1424900
2409.TW,1,2010/10/01,2010/10/06,32,32.15,2,2,-2,-1553200
2478.TW,0,2010/09/20,2010/10/08,36.20,34.40,1,1,-2.2,-1623800
2478.TW,1,2010/10/05,2010/10/08,33,34.40,2,2,2,-1758600
2501.TW,0,2010/09/06,2010/09/15,15.20,16.00,1,1,-0.199999999999999,-1789800
2501.TW,1,2010/09/10,2010/09/15,14,16.00,2,2,2,-1849800
2504.TW,0,2010/10/04,2010/10/08,14.95,16.15,1,1,1.05,-1880900
2610.TW,0,2010/09/09,2010/09/15,19.70,20.90,1,1,0.300000000000001,-1921500
2610.TW,1,2010/09/10,2010/09/15,18,20.90,2,2,4,-1999300
2610.TW,2,2010/09/28,2010/10/07,22.40,24.05,1,1,1.6,-2045750
2610.TW,3,2010/10/08,-1,24.30,0,1,0,-2.3,-2070050
2823.TW,0,2010/09/09,2010/09/15,25.30,26.10,1,1,0.699999999999999,-2121450
2823.TW,1,2010/09/10,2010/09/15,24,26.10,2,2,4,-2221650
3380.TW,0,2010/09/17,-1,26.40,0,1,0,-0.399999999999999,-2248050

Reports
Cur profits,24950
MAX capital,2748050

MAKE profit list
stock_id,entry_time,leave_time,entry_price,leave_price,entry_ticket,leave_ticket,profits
2332.TW,2010/09/10,2010/09/15,25,28.15,2,2,6
1710.TW,2010/09/23,2010/10/15,27.20,33.30,1,1,4.8
2610.TW,2010/09/10,2010/09/15,18,20.90,2,2,4
2823.TW,2010/09/10,2010/09/15,24,26.10,2,2,4
1711.TW,2010/09/06,2010/09/15,36.90,41.10,1,1,3.1
1710.TW,2010/09/06,2010/10/07,25.45,28.30,1,1,2.55
2501.TW,2010/09/10,2010/09/15,14,16.00,2,2,2
2478.TW,2010/10/05,2010/10/08,33,34.40,2,2,2
1710.TW,2010/10/04,2010/10/07,27,28.30,2,2,2
1711.TW,2010/09/27,2010/09/30,36,37.50,2,2,2
1210.TW,2010/09/09,2010/10/04,29.25,31.75,1,1,1.75
1304.TW,2010/09/06,2010/09/10,22.30,24.65,1,1,1.7
2610.TW,2010/09/28,2010/10/07,22.40,24.05,1,1,1.6
1504.TW,2010/09/16,2010/10/06,16.60,18.40,1,1,1.4
2325.TW,2010/09/10,2010/10/05,30.75,32.50,1,1,1.25
2504.TW,2010/10/04,2010/10/08,14.95,16.15,1,1,1.05
1234.TW,2010/09/24,2010/10/08,24.00,25.70,1,1,1
2332.TW,2010/09/06,2010/09/15,27.20,28.15,1,1,0.800000000000001
2311.TW,2010/09/13,2010/09/23,23.25,24.85,1,1,0.75
2823.TW,2010/09/09,2010/09/15,25.30,26.10,1,1,0.699999999999999
2610.TW,2010/09/09,2010/09/15,19.70,20.90,1,1,0.300000000000001
2409.TW,2010/09/10,2010/10/06,30.95,32.15,1,1,0.0500000000000007

LOST profit list
stock_id,entry_time,leave_time,entry_price,leave_price,entry_ticket,leave_ticket,profits
2332.TW,2010/10/01,2010/10/06,34,32.80,2,2,-4
2610.TW,2010/10/08,-1,24.30,0,1,0,-2.3
2478.TW,2010/09/20,2010/10/08,36.20,34.40,1,1,-2.2
1409.TW,2010/09/17,2010/09/23,13,12.90,2,2,-2
2409.TW,2010/10/01,2010/10/06,32,32.15,2,2,-2
1711.TW,2010/09/24,2010/09/30,39.00,37.50,1,1,-2
1905.TW,2010/10/07,2010/10/13,16.70,16.10,1,1,-1.7
1455.TW,2010/09/27,2010/10/01,16.05,15.75,1,1,-1.05
2332.TW,2010/09/30,2010/10/06,32.90,32.80,1,1,-0.899999999999999
1475.TW,2010/09/06,-1,13.60,0,1,0,-0.6
1409.TW,2010/09/08,2010/09/23,12.50,12.90,1,1,-0.5
3380.TW,2010/09/17,-1,26.40,0,1,0,-0.399999999999999
2501.TW,2010/09/06,2010/09/15,15.20,16.00,1,1,-0.199999999999999
1234.TW,2010/10/05,2010/10/08,25,25.70,2,2,0
2325.TW,2010/09/30,2010/10/05,32,32.50,2,2,0
2311.TW,2010/09/17,2010/09/23,24,24.85,2,2,0
1210.TW,2010/09/29,2010/10/04,31,31.75,2,2,0
1455.TW,2010/09/28,2010/10/01,15,15.75,2,2,0
